isbn,title,authors,publisher,published_year,description,cover_image_url,genre
9.78602E+12,Si Kancil yang Cerdik,Tim Penulis DAR Mizan,DAR Mizan,2010,"Kumpulan cerita rakyat Indonesia yang menampilkan Si Kancil, tokoh kancil yang cerdik dan jenaka. Buku ini merangkum berbagai petualangan Si Kancil yang mengajarkan nilai-nilai kecerdasan, keberanian, dan kejujuran kepada anak-anak.",https://books.google.com/books/content?id=si_kancil&printsec=frontcover&img=1&zoom=1,Children
9.78979E+12,Kiko dan Hujan,Rani Cinta,Mizan Pustaka,2013,"Buku cerita bergambar tentang Kiko, seekor katak kecil yang sangat mencintai hujan. Mengajarkan anak-anak tentang siklus air, pentingnya menjaga lingkungan, dan kegembiraan dalam hal-hal sederhana di alam sekitar.",https://books.google.com/books/content?id=kiko_hujan&printsec=frontcover&img=1&zoom=1,Children
9.78602E+12,Buku Besar Mimpi,Windry Ramadhina,Gagasmedia,2014,"Buku cerita anak tentang Maya yang memiliki sebuah buku ajaib tempat semua mimpinya tersimpan. Setiap malam, Maya berkelana dalam mimpi-mimpi indahnya yang mengajarkan keberanian dan pentingnya menjaga harapan.",https://books.google.com/books/content?id=buku_mimpi&printsec=frontcover&img=1&zoom=1,Children
9.78602E+12,Laskar Bintang,Tere Liye,Republika Penerbit,2016,"Novel anak-anak petualangan tentang sekelompok anak yang menemukan portal menuju dunia lain yang penuh keajaiban. Mengajarkan tentang persahabatan, keberanian, dan arti tanggung jawab kepada pembaca usia muda.",https://books.google.com/books/content?id=laskar_bintang&printsec=frontcover&img=1&zoom=1,Children
9.78979E+12,Cerita Rakyat Nusantara,Tim Editor Gramedia,Gramedia Pustaka Utama,2011,"Kumpulan cerita rakyat dari berbagai penjuru Nusantara yang disajikan dengan ilustrasi berwarna-warni. Mencakup legenda, mite, dan fabel dari Sabang sampai Merauke yang memperkenalkan kekayaan budaya Indonesia kepada anak-anak.",https://books.google.com/books/content?id=cerita_rakyat&printsec=frontcover&img=1&zoom=1,Children
9.78979E+12,La Tahzan: Jangan Bersedih,Aidh al-Qarni,Qisthi Press,2004,"Buku motivasi islami yang berisi panduan untuk mengatasi kesedihan, kecemasan, dan tekanan hidup dari perspektif Islam. Mengajak pembaca untuk selalu bersyukur dan bertawakal kepada Allah SWT dalam setiap kondisi kehidupan.",https://books.google.com/books/content?id=la_tahzan&printsec=frontcover&img=1&zoom=1,Religion
9.78979E+12,Rindu,Tere Liye,Republika Penerbit,2014,"Novel religi tentang perjalanan ibadah haji di atas kapal uap pada tahun 1938. Mengikuti kisah Daeng Andipati dan para penumpang kapal yang membawa beragam rindu dan pertanyaan tentang kehidupan, dosa, dan ampunan kepada Baitullah.",https://books.google.com/books/content?id=rindu_tereliye&printsec=frontcover&img=1&zoom=1,Religion
9.78602E+12,Merindu Baginda Nabi,Habiburrahman El Shirazy,Republika Penerbit,2018,Kumpulan kisah inspiratif tentang kecintaan para sahabat dan umat Islam kepada Nabi Muhammad SAW. Ditulis dengan gaya narasi yang menyentuh hati untuk mempertebal iman dan rasa cinta kepada Rasulullah.,https://books.google.com/books/content?id=merindu_nabi&printsec=frontcover&img=1&zoom=1,Religion
9.78602E+12,Fiqih Sunnah,Sayyid Sabiq,Cakrawala Publishing,2008,"Kitab rujukan fiqih Islam yang komprehensif, membahas hukum-hukum syariat Islam dalam kehidupan sehari-hari mulai dari thaharah, shalat, puasa, zakat, hingga haji. Ditulis dengan bahasa yang mudah dipahami namun tetap berlandaskan dalil yang kuat.",https://books.google.com/books/content?id=fiqih_sunnah&printsec=frontcover&img=1&zoom=1,Religion
9.78979E+12,Agar Bisa Bahagia,Felix Siauw,AlFatih Press,2013,"Buku motivasi islami yang membahas cara meraih kebahagiaan sejati menurut pandangan Islam. Mengajak pembaca untuk menata ulang prioritas hidup, memperkuat iman, dan menemukan makna kebahagiaan yang hakiki melalui ketaatan kepada Allah.",https://books.google.com/books/content?id=agar_bahagia&printsec=frontcover&img=1&zoom=1,Religion
9.78602E+12,Syarah Al-Hikam,Ibnu Atha'illah Al-Iskandari,Pustaka Hidayah,2010,Terjemahan dan penjelasan kitab Al-Hikam yang berisi kumpulan hikmah dan ajaran tasawuf Islam. Membahas perjalanan spiritual seorang hamba menuju makrifat kepada Allah dengan penjelasan yang mendalam dan bijaksana.,https://books.google.com/books/content?id=syarah_hikam&printsec=frontcover&img=1&zoom=1,Religion
9.78979E+12,Sejarah Indonesia Modern 1200-2004,M.C. Ricklefs,Serambi,2005,"Buku referensi sejarah Indonesia yang komprehensif dari era kerajaan-kerajaan awal hingga era reformasi. Ditulis oleh sejarawan terkemuka Australia yang mengkaji perkembangan politik, sosial, dan budaya Indonesia secara mendalam dan kritis.",https://books.google.com/books/content?id=sejarah_ricklefs&printsec=frontcover&img=1&zoom=1,History
9.78979E+12,Kronik Revolusi Indonesia,Rushdy Hoesein,Gramedia Pustaka Utama,2010,"Buku yang mendokumentasikan peristiwa-peristiwa penting selama revolusi kemerdekaan Indonesia dari tahun 1945 hingga 1949. Dilengkapi dengan data, foto, dan analisis mendalam tentang perjuangan bangsa Indonesia mempertahankan kemerdekaan.",https://books.google.com/books/content?id=kronik_revolusi&printsec=frontcover&img=1&zoom=1,History
9.78979E+12,Soekarno: Biografi Singkat 1901-1970,Samsul Munir Amin,Garasi House of Book,2009,"Biografi presiden pertama Republik Indonesia, Ir. Soekarno, yang menelusuri perjalanan hidupnya dari masa kecil, pendidikan, perjuangan kemerdekaan, hingga akhir hayatnya. Menyajikan kisah seorang tokoh besar yang membentuk identitas bangsa Indonesia.",https://books.google.com/books/content?id=bio_soekarno&printsec=frontcover&img=1&zoom=1,History
9.78602E+12,Di Bawah Bendera Revolusi,Soekarno,Yayasan Bung Karno,1964,"Kumpulan pidato, tulisan, dan pemikiran Presiden Soekarno tentang perjuangan kemerdekaan, nasionalisme, dan cita-cita bangsa Indonesia. Merupakan dokumen sejarah yang penting untuk memahami ideologi dan visi founding father Indonesia.",https://books.google.com/books/content?id=dibawah_bendera&printsec=frontcover&img=1&zoom=1,History
9.78979E+12,Sejarah Pergerakan Nasional Indonesia,Suhartono W. Pranoto,Pustaka Pelajar,2010,"Buku yang mengulas secara kronologis perkembangan pergerakan nasional Indonesia dari Budi Utomo 1908 hingga kemerdekaan 1945. Menganalisis berbagai organisasi, tokoh, dan ideologi yang berperan dalam proses menuju kemerdekaan Indonesia.",https://books.google.com/books/content?id=pergerakan_nasional&printsec=frontcover&img=1&zoom=1,History
9.78602E+12,G30S: Fakta atau Rekayasa,Asvi Warman Adam,Kompas Media Nusantara,2009,Buku yang mengkaji secara kritis peristiwa G30S/PKI tahun 1965 dari berbagai perspektif dan sumber sejarah. Menyajikan analisis yang berani dan komprehensif tentang salah satu peristiwa paling kontroversial dalam sejarah Indonesia.,https://books.google.com/books/content?id=g30s_fakta&printsec=frontcover&img=1&zoom=1,History
9.78979E+12,Intisari Fisika,Marthen Kanginan,Erlangga,2006,"Buku referensi fisika yang merangkum konsep-konsep dasar hingga lanjutan dalam fisika. Dilengkapi dengan rumus, contoh soal, dan pembahasan yang sistematis untuk membantu pelajar dan mahasiswa memahami prinsip-prinsip dasar ilmu fisika.",https://books.google.com/books/content?id=fisika_kanginan&printsec=frontcover&img=1&zoom=1,Science
9.78979E+12,Kimia Dasar: Konsep Inti,Raymond Chang,Erlangga,2005,"Buku teks kimia dasar yang komprehensif mencakup konsep-konsep inti kimia umum, kimia organik, dan kimia anorganik. Dilengkapi dengan ilustrasi, contoh soal, dan latihan yang membantu mahasiswa memahami kimia dari dasar hingga tingkat lanjut.",https://books.google.com/books/content?id=kimia_chang&printsec=frontcover&img=1&zoom=1,Science
9.78979E+12,Biologi untuk SMA/MA Kelas XII,Syamsuri Istamar,Erlangga,2007,"Buku teks biologi untuk tingkat SMA yang membahas materi genetika, evolusi, bioteknologi, dan ekologi secara mendalam. Dilengkapi dengan gambar, diagram, dan soal latihan yang membantu siswa memahami konsep-konsep biologi modern.",https://books.google.com/books/content?id=biologi_istamar&printsec=frontcover&img=1&zoom=1,Science
9.78602E+12,Astronomi dan Astrofisika,Moedji Raharto,ITB Press,2013,"Buku yang membahas konsep-konsep dasar astronomi dan astrofisika secara komprehensif, mulai dari mekanika langit, fisika bintang, galaksi, hingga kosmologi. Ditulis khusus untuk pembaca Indonesia yang ingin memahami ilmu perbintangan secara ilmiah.",https://books.google.com/books/content?id=astronomi_itb&printsec=frontcover&img=1&zoom=1,Science
9.78979E+12,Pengantar Ilmu Lingkungan,Soerianegara Indriyanto,PT Penerbit IPB Press,2016,"Buku pengantar ilmu lingkungan yang membahas ekosistem, keanekaragaman hayati, pencemaran lingkungan, dan pengelolaan sumber daya alam di Indonesia. Memberikan pemahaman dasar tentang pentingnya menjaga keseimbangan lingkungan hidup.",https://books.google.com/books/content?id=ilmu_lingkungan&printsec=frontcover&img=1&zoom=1,Science
9.78979E+12,Matematika untuk Perguruan Tinggi,Sukirman,Kencana Prenada Media,2006,"Buku teks matematika tingkat perguruan tinggi yang mencakup kalkulus, aljabar linear, dan matematika diskrit. Disajikan secara sistematis dengan teori yang jelas, contoh soal yang beragam, dan latihan yang cukup untuk mengukur pemahaman mahasiswa.",https://books.google.com/books/content?id=matematika_pt&printsec=frontcover&img=1&zoom=1,Science
9.78979E+12,Pemrograman Python untuk Pemula,Edy Winarno,Elex Media Komputindo,2015,"Buku panduan belajar Python dari dasar yang ditulis khusus untuk pemula. Membahas sintaks dasar Python, struktur data, pemrograman berorientasi objek, dan pengembangan aplikasi sederhana dengan pendekatan yang mudah dipahami dan praktis.",https://books.google.com/books/content?id=python_pemula&printsec=frontcover&img=1&zoom=1,Technology
9.78602E+12,Jaringan Komputer,Iwan Sofana,Informatika,2013,"Buku referensi jaringan komputer yang membahas konsep dasar, arsitektur, protokol, dan teknologi jaringan secara komprehensif. Mencakup topik TCP/IP, routing, switching, keamanan jaringan, dan implementasi jaringan enterprise.",https://books.google.com/books/content?id=jaringan_komputer&printsec=frontcover&img=1&zoom=1,Technology
9.78979E+12,Kecerdasan Buatan,Sri Kusumadewi,Graha Ilmu,2003,"Buku teks kecerdasan buatan yang membahas konsep dasar AI, sistem pakar, jaringan saraf tiruan, logika fuzzy, dan algoritma genetika. Ditulis dalam bahasa Indonesia yang jelas untuk membantu mahasiswa informatika memahami fondasi AI.",https://books.google.com/books/content?id=ai_kusumadewi&printsec=frontcover&img=1&zoom=1,Technology
9.78602E+12,Web Programming dengan PHP dan MySQL,Bunafit Nugroho,Gava Media,2008,"Panduan praktis pemrograman web menggunakan PHP dan MySQL untuk membangun aplikasi web dinamis. Dilengkapi dengan studi kasus nyata seperti sistem login, CRUD, dan sistem informasi sederhana yang bisa langsung dipraktikkan.",https://books.google.com/books/content?id=php_mysql&printsec=frontcover&img=1&zoom=1,Technology
9.78979E+12,Sistem Operasi Komputer,William Stallings,Salemba Teknika,2007,"Buku teks sistem operasi yang membahas konsep dasar manajemen proses, memori, penyimpanan, dan keamanan sistem. Merupakan terjemahan dari buku teks internasional yang telah disesuaikan dengan kurikulum informatika Indonesia.",https://books.google.com/books/content?id=sos_stallings&printsec=frontcover&img=1&zoom=1,Technology
9.78602E+12,Belajar Android Studio,Nazruddin Safaat H,Informatika,2015,"Panduan lengkap pengembangan aplikasi Android menggunakan Android Studio. Membahas dasar-dasar pemrograman Java untuk Android, desain UI/UX, koneksi database, hingga teknik publikasi aplikasi di Google Play Store.",https://books.google.com/books/content?id=android_studio&printsec=frontcover&img=1&zoom=1,Technology
9.78979E+12,Pengantar Ilmu Hukum,Sudikno Mertokusumo,Liberty Yogyakarta,2003,"Buku pengantar ilmu hukum yang membahas pengertian hukum, sumber hukum, sistem hukum, dan asas-asas hukum secara komprehensif. Merupakan buku wajib bagi mahasiswa fakultas hukum sebagai fondasi untuk mempelajari bidang hukum lebih lanjut.",https://books.google.com/books/content?id=pih_sudikno&printsec=frontcover&img=1&zoom=1,Law
9.78979E+12,Hukum Pidana Indonesia,Moeljatno,Bina Aksara,2008,"Buku yang membahas asas-asas hukum pidana Indonesia secara menyeluruh, mencakup teori pertanggungjawaban pidana, jenis-jenis tindak pidana, dan sistem pemidanaan. Menjadi rujukan utama dalam studi hukum pidana di Indonesia.",https://books.google.com/books/content?id=hukum_pidana&printsec=frontcover&img=1&zoom=1,Law
9.78979E+12,Hukum Perjanjian,Subekti,PT Intermasa,2005,"Buku klasik hukum perjanjian yang mengulas hukum perikatan dan perjanjian berdasarkan KUH Perdata. Membahas syarat sahnya perjanjian, akibat hukum, wanprestasi, dan cara berakhirnya perjanjian secara sistematis.",https://books.google.com/books/content?id=hukum_perjanjian&printsec=frontcover&img=1&zoom=1,Law
9.78979E+12,Hukum Tata Negara Indonesia,Jimly Asshiddiqie,Konstitusi Press,2007,"Buku komprehensif tentang hukum tata negara Indonesia pasca reformasi yang ditulis oleh mantan Ketua Mahkamah Konstitusi. Membahas sistem ketatanegaraan, lembaga negara, hubungan antar lembaga, dan perkembangan konstitusi Indonesia.",https://books.google.com/books/content?id=htn_jimly&printsec=frontcover&img=1&zoom=1,Law
9.78979E+12,Hukum Perdata Indonesia,Riduan Syahrani,PT Citra Aditya Bakti,2006,"Buku yang membahas seluruh aspek hukum perdata Indonesia mulai dari hukum orang, hukum keluarga, hukum waris, hukum benda, hingga hukum perjanjian. Dilengkapi dengan analisis pasal-pasal KUH Perdata dan perkembangan hukum perdata terkini.",https://books.google.com/books/content?id=hukum_perdata&printsec=frontcover&img=1&zoom=1,Law
9.78979E+12,Hukum Lingkungan dan Kebijakan Lingkungan Nasional,N.H.T. Siahaan,Kencana Prenada Media,2004,"Buku yang mengkaji hukum lingkungan Indonesia secara menyeluruh, mencakup perundang-undangan, kebijakan, dan penegakan hukum lingkungan. Memberikan gambaran komprehensif tentang kerangka hukum perlindungan dan pengelolaan lingkungan hidup di Indonesia.",https://books.google.com/books/content?id=hukum_lingkungan&printsec=frontcover&img=1&zoom=1,Law
9.78979E+12,Gizi dan Kesehatan Masyarakat,Departemen Gizi dan Kesehatan Masyarakat FKMUI,Rajawali Pers,2007,"Buku teks gizi dan kesehatan masyarakat yang membahas konsep dasar gizi, status gizi, masalah gizi di Indonesia, dan program penanggulangan masalah gizi. Digunakan sebagai buku pegangan mahasiswa fakultas kesehatan masyarakat.",https://books.google.com/books/content?id=gizi_fkmui&printsec=frontcover&img=1&zoom=1,Health
9.78979E+12,Ilmu Penyakit Dalam,Aru W. Sudoyo,Pusat Penerbitan Departemen IPD FKUI,2006,Buku referensi utama ilmu penyakit dalam bagi dokter dan mahasiswa kedokteran Indonesia. Membahas diagnosis dan tata laksana berbagai penyakit internal secara komprehensif dengan pendekatan berbasis bukti yang sesuai dengan kondisi di Indonesia.,https://books.google.com/books/content?id=ipd_fkui&printsec=frontcover&img=1&zoom=1,Health
9.78979E+12,Psikologi Kesehatan,Bart Smet,PT Grasindo,1994,"Buku yang membahas hubungan antara faktor psikologis dan kesehatan fisik manusia. Mengkaji topik stres, koping, perilaku sehat, penyakit kronis, dan peran psikologi dalam pencegahan serta penanganan masalah kesehatan.",https://books.google.com/books/content?id=psikologi_kes&printsec=frontcover&img=1&zoom=1,Health
9.78602E+12,Hidup Sehat dengan Herbal,Hembing Wijayakusuma,Gramedia Pustaka Utama,2008,"Panduan penggunaan tanaman herbal asli Indonesia untuk menjaga kesehatan dan mengobati berbagai penyakit umum. Dilengkapi dengan informasi ilmiah tentang kandungan aktif tanaman, cara pengolahan, dosis, dan efek samping yang perlu diperhatikan.",https://books.google.com/books/content?id=herbal_hembing&printsec=frontcover&img=1&zoom=1,Health
9.78979E+12,Metodologi Penelitian Kesehatan,Soekidjo Notoatmodjo,Rineka Cipta,2010,"Buku panduan metodologi penelitian di bidang kesehatan yang mencakup desain penelitian, teknik sampling, pengumpulan data, analisis statistik, dan penulisan laporan penelitian. Menjadi rujukan wajib bagi mahasiswa dan peneliti di bidang kesehatan.",https://books.google.com/books/content?id=metodologi_kes&printsec=frontcover&img=1&zoom=1,Health
9.78979E+12,Keperawatan Medikal Bedah,Brunner dan Suddarth,EGC,2002,Buku teks keperawatan medikal bedah yang menjadi referensi utama perawat Indonesia. Membahas asuhan keperawatan pada berbagai kondisi penyakit secara sistematis dengan pendekatan proses keperawatan yang komprehensif.,https://books.google.com/books/content?id=kep_brunner&printsec=frontcover&img=1&zoom=1,Health
9.78979E+12,Filsafat Pendidikan Islam,Abuddin Nata,Kencana Prenada Media,2005,"Buku yang membahas landasan filosofis pendidikan Islam, meliputi konsep manusia, ilmu pengetahuan, dan tujuan pendidikan dalam perspektif Islam. Digunakan sebagai referensi utama dalam studi filsafat pendidikan di perguruan tinggi Islam.",https://books.google.com/books/content?id=filsafat_pend&printsec=frontcover&img=1&zoom=1,Education
9.78979E+12,Teori Belajar dan Pembelajaran,Hamzah B. Uno,Bumi Aksara,2008,"Buku yang membahas berbagai teori belajar dan pembelajaran dari berbagai perspektif psikologi dan pendidikan. Mengkaji teori behaviorisme, kognitivisme, konstruktivisme, dan humanisme serta implikasinya dalam praktek pembelajaran di Indonesia.",https://books.google.com/books/content?id=teori_belajar&printsec=frontcover&img=1&zoom=1,Education
9.78979E+12,Kurikulum dan Pembelajaran,Oemar Hamalik,Bumi Aksara,2009,"Buku teks tentang konsep kurikulum dan implementasinya dalam proses pembelajaran. Membahas pengembangan kurikulum, model pembelajaran, evaluasi, dan berbagai inovasi dalam dunia pendidikan Indonesia pasca reformasi.",https://books.google.com/books/content?id=kurikulum_hamalik&printsec=frontcover&img=1&zoom=1,Education
9.78602E+12,Pendidikan Karakter,Muchlas Samani,PT Remaja Rosdakarya,2012,"Buku yang mengkaji konsep dan implementasi pendidikan karakter di sekolah Indonesia. Membahas nilai-nilai karakter yang perlu dikembangkan, strategi pembelajaran berbasis karakter, dan peran guru dalam membentuk karakter peserta didik.",https://books.google.com/books/content?id=pend_karakter&printsec=frontcover&img=1&zoom=1,Education
9.78979E+12,Psikologi Pendidikan,Muhibbin Syah,PT Remaja Rosdakarya,2010,"Buku psikologi pendidikan yang membahas perkembangan peserta didik, motivasi belajar, kecerdasan, gaya belajar, dan faktor-faktor yang mempengaruhi prestasi akademik. Dilengkapi dengan implikasi praktis untuk guru dan pendidik.",https://books.google.com/books/content?id=psik_pend&printsec=frontcover&img=1&zoom=1,Education
9.78979E+12,Manajemen Berbasis Sekolah,E. Mulyasa,PT Remaja Rosdakarya,2004,"Buku yang membahas konsep dan implementasi manajemen berbasis sekolah dalam konteks otonomi pendidikan di Indonesia. Mengulas strategi pengelolaan sekolah yang efektif, peran komite sekolah, dan peningkatan mutu pendidikan secara berkelanjutan.",https://books.google.com/books/content?id=mbs_mulyasa&printsec=frontcover&img=1&zoom=1,Education
